"","ID","Group.1","sex","age","PA_mean","MT_mean","GM_mean","Fell","genre","wm"
"98",4258,4258,1,22,5.55555555555556,2.42857142857143,3.42857142857143,1,"rock",1
"99",4258,4258,1,22,5.55555555555556,2.42857142857143,3.42857142857143,1,"classical",1
"100",4267,4267,2,19,4.88888888888889,4.71428571428571,4.57142857142857,0,"classical",0
"101",4267,4267,2,19,4.88888888888889,4.71428571428571,4.57142857142857,0,"rock",0
"102",4276,4276,2,25,3.55555555555556,1,1.14285714285714,1,"classical",1
"103",4276,4276,2,25,3.55555555555556,1,1.14285714285714,1,"rock",1
"104",4291,4291,1,20,4.11111111111111,3.14285714285714,3.85714285714286,1,"rock",0
"105",4291,4291,1,20,4.11111111111111,3.14285714285714,3.85714285714286,1,"classical",0
"106",4303,4303,2,36,5.88888888888889,5.42857142857143,5.42857142857143,1,"classical",0
"107",4303,4303,2,36,5.88888888888889,5.42857142857143,5.42857142857143,0,"rock",0
"108",4330,4330,2,33,2.44444444444444,3,2.71428571428571,1,"rock",1
"109",4330,4330,2,33,2.44444444444444,3,2.71428571428571,1,"classical",1
"110",4372,4372,2,20,6.22222222222222,3.42857142857143,4.42857142857143,1,"classical",1
"111",4372,4372,2,20,6.22222222222222,3.42857142857143,4.42857142857143,0,"rock",1
"112",4378,4378,2,25,4.66666666666667,3.42857142857143,3.42857142857143,0,"rock",1
"113",4378,4378,2,25,4.66666666666667,3.42857142857143,3.42857142857143,0,"classical",1
"114",4393,4393,2,20,4.33333333333333,2.57142857142857,2.57142857142857,1,"classical",0
"115",4393,4393,2,20,4.33333333333333,2.57142857142857,2.57142857142857,1,"rock",0
"116",4444,4444,2,45,4.11111111111111,1.85714285714286,2.85714285714286,0,"rock",1
"117",4444,4444,2,45,4.11111111111111,1.85714285714286,2.85714285714286,0,"classical",1
"118",4930,4930,2,34,5,2.28571428571429,3.42857142857143,0,"classical",1
"119",4930,4930,2,34,5,2.28571428571429,3.42857142857143,1,"rock",1
"120",4957,4957,1,21,5.77777777777778,2.28571428571429,3.42857142857143,0,"rock",0
